account,name,link,keywords,language
@acevedo@dizl.de,Juan Acevedo,https://dizl.de/@acevedo,nautical Arabic manuscripts,eng
@nahint@tooting.ch,Nicolas A. Hintermann,https://tooting.ch/@nahint,WiMi in Tübingen; Arabic Philosophy,ger
@edhayes@maly.io,Edmund Hayes,https://maly.io/@edhayes,social historian of early and medieval Islam; especially Shi'ism and water history at Radboud university,
@rob_haug@mstdn.social,Robert Haug,https://mstdn.social/@rob_haug,,
@bookandswordblog@scholar.social,Sean Manning,https://scholar.social/@bookandswordblog,,
@JubalBarca@scholar.social,James Baillie,https://scholar.social/@JubalBarca,,
@Jradin@mas.to,JRadin,https://mas.to/@Jradin,Religious Studies,
@natalie@hcommons.social,Natalie Kraneiß,https://hcommons.social/@natalie,,
@hkurt@mstdn.social,Huseyin Kurt,https://mstdn.social/@hkurt,,
@erikobarr@zirk.us,Erik B. and Rakım Efendi,https://zirk.us/@erikobarr,,
@gloqur@religion.masto.host,GloQur – The Global Qur'an (Johanna Pink),https://religion.masto.host/@gloqur,,
@floris@freiburg.social,Floris Remmert,https://freiburg.social/@floris,Iran;student,ger;eng
